timestamp,fish_id,x_coordinate,y_coordinate
1755831518.5491416,1,509,380
1755831518.603758,13,333,165
1755831518.603758,12,326,319
1755831518.603758,11,325,199
1755831518.603758,10,644,579
1755831518.603758,9,386,198
1755831518.603758,8,671,536
1755831518.603758,7,335,288
1755831518.603758,6,393,349
1755831518.603758,5,369,484
1755831518.603758,4,253,511
1755831518.603758,3,343,378
1755831518.603758,2,270,431
1755831518.603758,1,510,380
1755831518.6581678,13,333,164
1755831518.6581678,11,326,199
1755831518.6581678,10,644,578
1755831518.6581678,9,387,198
1755831518.6581678,8,671,536
1755831518.6581678,7,336,288
1755831518.6581678,6,394,350
1755831518.6581678,5,369,484
1755831518.6581678,4,253,511
1755831518.6581678,3,342,376
1755831518.6581678,2,269,432
1755831518.6581678,1,512,381
1755831518.708863,13,332,164
1755831518.708863,11,326,199
1755831518.708863,10,644,578
1755831518.708863,9,386,198
1755831518.708863,8,671,537
1755831518.708863,7,336,288
1755831518.708863,6,395,351
1755831518.708863,5,369,484
1755831518.708863,4,254,512
1755831518.708863,3,342,375
1755831518.708863,2,268,434
1755831518.708863,1,512,382
1755831518.7639744,13,333,164
1755831518.7639744,11,326,199
1755831518.7639744,10,644,578
1755831518.7639744,9,385,197
1755831518.7639744,8,672,537
1755831518.7639744,7,334,289
1755831518.7639744,6,396,352
1755831518.7639744,5,368,485
1755831518.7639744,4,255,513
1755831518.7639744,3,342,373
1755831518.7639744,2,268,436
1755831518.7639744,1,514,383
1755831518.8179517,17,377,390
1755831518.8179517,13,333,163
1755831518.8179517,11,326,200
1755831518.8179517,10,644,578
1755831518.8179517,9,383,197
1755831518.8179517,8,672,537
1755831518.8179517,7,333,290
1755831518.8179517,6,398,355
1755831518.8179517,5,368,485
1755831518.8179517,4,255,513
1755831518.8179517,3,342,369
1755831518.8179517,2,267,438
1755831518.8179517,1,515,383
1755831518.8729792,18,324,231
1755831518.8729792,17,379,391
1755831518.8729792,13,333,163
1755831518.8729792,11,326,199
1755831518.8729792,10,645,578
1755831518.8729792,9,382,197
1755831518.8729792,8,672,536
1755831518.8729792,7,334,290
1755831518.8729792,6,403,361
1755831518.8729792,5,368,485
1755831518.8729792,4,255,513
1755831518.8729792,3,341,366
1755831518.8729792,2,268,439
1755831518.8729792,1,516,384
1755831518.9259899,18,324,233
1755831518.9259899,17,383,390
1755831518.9259899,13,332,162
1755831518.9259899,11,326,199
1755831518.9259899,10,646,577
1755831518.9259899,9,381,197
1755831518.9259899,8,673,537
1755831518.9259899,7,334,291
1755831518.9259899,6,405,364
1755831518.9259899,5,368,486
1755831518.9259899,4,257,513
1755831518.9259899,3,341,364
1755831518.9259899,2,268,440
1755831518.9259899,1,518,385
1755831518.9789643,18,324,234
1755831518.9789643,17,386,392
1755831518.9789643,11,326,198
1755831518.9789643,10,646,577
1755831518.9789643,9,383,197
1755831518.9789643,8,673,537
1755831518.9789643,7,334,292
1755831518.9789643,6,409,367
1755831518.9789643,5,368,486
1755831518.9789643,4,258,513
1755831518.9789643,3,342,363
1755831518.9789643,2,268,441
1755831518.9789643,1,520,385
1755831519.0292022,18,323,235
1755831519.0292022,17,387,395
1755831519.0292022,11,326,198
1755831519.0292022,10,646,577
1755831519.0292022,9,384,197
1755831519.0292022,8,674,537
1755831519.0292022,7,335,294
